,0,1,2,3
0,The Audacious Project: A new model to inspire change,5153,9,https://www.ted.com/playlists/715/the_audacious_project
1,A love letter to misfits,6539,8,https://www.ted.com/playlists/719/a_love_letter_to_misfits
2,How to be a better you,10514,14,https://www.ted.com/playlists/8/a_better_you
3,"Extraordinary, larger-than-life art",6116,9,https://www.ted.com/playlists/716/extraordinary_larger_than_life_art
4,How to live with robots,10764,14,https://www.ted.com/playlists/17/how_to_live_with_robots
5,Why tech needs diversity,10414,14,https://www.ted.com/playlists/714/why_tech_needs_diversity
6,Revolutionary women!,8888,9,https://www.ted.com/playlists/712/revolutionary_women
7,The global power shift,15990,16,https://www.ted.com/playlists/73/the_global_power_shift
8,Theories of evolution,5942,8,https://www.ted.com/playlists/711/theories_of_evolution
9,How perfectionism fails us,2277,4,https://www.ted.com/playlists/710/how_perfectionism_fails_us
10,Can you believe your eyes?,11540,13,https://www.ted.com/playlists/71/can_you_believe_your_eyes
11,Who are the hackers?,10939,13,https://www.ted.com/playlists/10/who_are_the_hackers
12,Interview with a business mogul,14488,10,https://www.ted.com/playlists/696/interview_with_a_business_mogul
13,The forecast calls for ...,8207,12,https://www.ted.com/playlists/142/the_forecast_calls_for
14,Surprisingly fun TED Talks,5577,7,https://www.ted.com/playlists/695/surprisingly_fun_ted_talks
15,Powerful poetry by fierce women,4945,7,https://www.ted.com/playlists/697/powerful_poetry_by_fierce_women
16,Making sense of too much data,13425,17,https://www.ted.com/playlists/56/making_sense_of_too_much_data
17,TED deep cuts vol. 3,11084,15,https://www.ted.com/playlists/690/ted_deep_cuts_vol_3
18,How coffee can bring us together,4279,5,https://www.ted.com/playlists/693/how_coffee_can_bring_us_together
19,TED Talks to inspire you to make art,5030,9,https://www.ted.com/playlists/694/ted_talks_to_inspire_you_to_make_art
20,"Planes, trains, automobiles — and jet suits?",15765,18,https://www.ted.com/playlists/83/planes_trains_and_automobiles
21,The pros and cons of digital life,11703,18,https://www.ted.com/playlists/26/our_digital_lives
22,The Way We Work,2342,9,https://www.ted.com/playlists/691/the_way_we_work
23,How to protect your passions from burnout,7994,9,https://www.ted.com/playlists/689/how_to_protect_your_passions_from_burnout
24,How to talk about your feelings,5989,7,https://www.ted.com/playlists/692/how_to_talk_about_your_feelings
25,Advice to help you be a great parent,12957,17,https://www.ted.com/playlists/150/advice_to_help_you_be_a_great
26,How to survive following your passions,11522,14,https://www.ted.com/playlists/687/how_to_survive_following_your_passions
27,The most transformative TED Talks,25335,25,https://www.ted.com/playlists/688/the_most_transformative_ted_talks
28,"Amazing, creative homes",7470,10,https://www.ted.com/playlists/266/don_t_you_wish_you_lived_here
29,Legends of the design world,18357,18,https://www.ted.com/playlists/127/design_giants
30,A love letter to libraries,5633,7,https://www.ted.com/playlists/683/a_love_letter_to_libraries
31,The most binge-worthy TED Talks,12138,15,https://www.ted.com/playlists/678/the_most_binge_worthy_ted_talks
32,How to take charge of your personal finances,4750,6,https://www.ted.com/playlists/685/how_to_take_charge_of_your_personal_finances
33,TED Salon: Optum,2183,6,https://www.ted.com/playlists/686/ted_salon_optum
34,Incredibly soothing TED Talks,6079,8,https://www.ted.com/playlists/675/incredibly_soothing_ted_talks
35,Curator's Picks: Top 10 TED Talks of 2018,8631,10,https://www.ted.com/playlists/684/curator_s_picks_top_10_ted_talks_of_2018
36,The most popular TED Talks of 2018,18601,25,https://www.ted.com/playlists/682/the_most_popular_ted_talks_of_2018
37,Future-forward thoughts on tech,7259,8,https://www.ted.com/playlists/681/future_forward_thoughts_on_tech
38,How art shapes conversation,6722,13,https://www.ted.com/playlists/676/how_art_shapes_conversations
39,How did the internet take over our lives?,6594,7,https://www.ted.com/playlists/679/how_did_the_internet_take_over_our_lives
40,Talks to help you get through the work week,6014,8,https://www.ted.com/playlists/677/talks_to_help_you_get_through_the_work_week
41,TED Talks for 20-somethings,11350,14,https://www.ted.com/playlists/674/ted_talks_for_20_somethings
42,How passion becomes purpose,8163,10,https://www.ted.com/playlists/667/how_passion_becomes_purpose
43,The most translated TED Talks,15841,25,https://www.ted.com/playlists/665/the_most_translated_ted_talks
44,When you need to take an intellectual snack break,9945,20,https://www.ted.com/playlists/664/when_you_need_to_take_an_intellectual_snack_break
45,The mystery and wonder of stars,2163,4,https://www.ted.com/playlists/669/the_mystery_and_wonder_of_stars
46,How to tap into our collective empathy,4735,5,https://www.ted.com/playlists/663/how_to_tap_into_our_collective_empathy
47,8 ways to fuel innovation,6819,8,https://www.ted.com/playlists/672/8_ways_to_fuel_innovation
48,How to invest in social good,7293,8,https://www.ted.com/playlists/671/how_to_invest_in_social_good
49,The power of protest,6109,8,https://www.ted.com/playlists/668/the_power_of_protest
50,How to be a good mentor,6220,8,https://www.ted.com/playlists/400/how_to_be_a_good_mentor
51,A blueprint for diversity in the workplace,7426,8,https://www.ted.com/playlists/670/a_blueprint_for_diversity_in_the_workplace
52,10 days of positive thinking,8046,10,https://www.ted.com/playlists/673/10_days_of_positive_thinking
53,The magic of the human voice,3698,5,https://www.ted.com/playlists/657/the_magic_of_the_human_voice
54,The illuminating benefits of video games,5962,7,https://www.ted.com/playlists/661/the_illuminating_benefits_of_videos_games
55,Who's watching us?,7810,10,https://www.ted.com/playlists/666/who_s_watching_us
56,The value of skepticism,8876,10,https://www.ted.com/playlists/662/the_value_of_skepticism
57,Great TED Talks for language practice,7700,11,https://www.ted.com/playlists/655/great_ted_talks_for_language_practice
58,An ode to unsung heroes,3910,7,https://www.ted.com/playlists/660/an_ode_to_unsung_heroes
59,How to get further in your career ,8122,11,https://www.ted.com/playlists/658/how_to_get_further_in_your_career
60,Refugees welcome,10481,12,https://www.ted.com/playlists/294/refugees_welcome
61,TED deep cuts vol. 2,9255,13,https://www.ted.com/playlists/654/ted_deep_cuts_vol_2
62,Unexpected lessons from the animal world,5472,7,https://www.ted.com/playlists/659/unexpected_lessons_from_the_animal_world
63,How to notice and build joy into your life,8593,12,https://www.ted.com/playlists/656/how_to_notice_and_build_joy_into_your_life
64,Talks to watch on a sleepy day in,4781,7,https://www.ted.com/playlists/653/talks_to_watch_on_a_sleepy_day_in
65,Truths about the US prison system,7397,8,https://www.ted.com/playlists/651/truths_about_the_us_prison_system
66,What does it mean to express yourself?,8502,11,https://www.ted.com/playlists/650/what_does_it_mean_to_express_yourself
67,Simple ways to support the arts,4845,7,https://www.ted.com/playlists/641/simple_ways_to_support_the_arts
68,Dissecting cultures of hate,5542,6,https://www.ted.com/playlists/648/dissecting_cultures_of_hate
69,Thrifty TED Talks,4910,7,https://www.ted.com/playlists/649/thrifty_ted_talks
70,Talks that will make you think twice ,3789,4,https://www.ted.com/playlists/647/talks_that_will_make_you_think_twice
71,How can we better treat our elders?,6044,8,https://www.ted.com/playlists/643/how_can_we_better_treat_our_elders
72,What is your body trying to tell you?,5735,8,https://www.ted.com/playlists/646/what_is_your_body_trying_to_tell_you
73,Talks for lifelong readers,4857,7,https://www.ted.com/playlists/645/talks_for_lifelong_readers
74,What happens when the robots take our jobs?,7050,9,https://www.ted.com/playlists/642/what_happens_when_the_robots_take_our_jobs
75,How can we keep our brains healthy?,8160,11,https://www.ted.com/playlists/644/how_can_we_keep_our_brains_healthy
76,Small Thing Big Idea: Designs that changed the world,1608,8,https://www.ted.com/playlists/635/small_thing_big_idea
77,Great TED Talks to inspire fiction writing,6972,10,https://www.ted.com/playlists/639/great_ted_talks_to_inspire_fiction_writing
78,How to practice emotional first aid,7578,10,https://www.ted.com/playlists/638/how_to_practice_emotional_first_aid
79,Talks to celebrate spring,4599,7,https://www.ted.com/playlists/637/talks_to_celebrate_spring
80,The secret to lifelong friendship,4916,6,https://www.ted.com/playlists/633/the_secret_to_lifelong_friendship
81,A day trip to Antarctica,4977,7,https://www.ted.com/playlists/634/a_day_trip_to_antarctica
82,Life lessons from the four elements,2577,4,https://www.ted.com/playlists/632/life_lessons_from_the_four_elements
83,What's the future of food?,5050,6,https://www.ted.com/playlists/631/what_s_the_future_of_food
84,There's an app for that,3130,6,https://www.ted.com/playlists/629/there_s_an_app_for_that
85,"Reclaim the past, save the future",6737,8,https://www.ted.com/playlists/630/reclaim_the_past_save_the_future
86,The big problem with fashion -- and how to fix it,1781,3,https://www.ted.com/playlists/627/the_big_problem_with_fashion_and_how_to_fix_it
87,A playbook to understanding power,5635,6,https://www.ted.com/playlists/626/a_playbook_to_understanding_power
88,What would it be like to live on another planet?,5354,7,https://www.ted.com/playlists/628/what_would_it_be_like_to_live_on_another_planet
89,The path to reconciliation,4644,5,https://www.ted.com/playlists/624/the_path_to_reconciliation
90,How space technology can change life on Earth,2167,4,https://www.ted.com/playlists/625/how_space_technology_can_change_life_on_earth
91,Talks to kickstart your next career ,2285,4,https://www.ted.com/playlists/622/talks_to_kickstart_your_next_career
92,A look into American politics ,6549,8,https://www.ted.com/playlists/619/a_look_into_american_politics
93,For the love of introverts,4186,4,https://www.ted.com/playlists/621/for_the_love_of_introverts
94,The evolution of music,4052,4,https://www.ted.com/playlists/623/the_evolution_of_music
95,What's the secret to living longer?,7619,8,https://www.ted.com/playlists/620/what_s_the_secret_to_living_longer
96,How to be your own advocate,6767,8,https://www.ted.com/playlists/616/how_to_be_your_own_advocate
97,Simple ways to spark your creativity,4838,7,https://www.ted.com/playlists/617/simple_ways_to_spark_your_creativity
98,What are emotions?,4761,5,https://www.ted.com/playlists/613/what_are_emotions
99,What we don't talk about (when we talk about sex),6895,8,https://www.ted.com/playlists/614/what_we_don_t_talk_about_when_we_talk_about_sex
100,Why not walk it out?,4347,7,https://www.ted.com/playlists/612/why_not_walk_it_out
101,TED Talks as the seven deadly sins,7352,7,https://www.ted.com/playlists/611/ted_talks_as_the_seven_deadly_sins
102,How can we fix the learning crisis?,4553,5,https://www.ted.com/playlists/587/how_can_we_fix_the_learning_crisis
103,The race for your attention,2787,3,https://www.ted.com/playlists/610/the_race_for_your_attention
104,"Motivation for the New Year (and every day, really)",8725,12,https://www.ted.com/playlists/609/motivation_for_the_new_year_and_every_day_really
105,Most popular TED Talks of 2017,13689,14,https://www.ted.com/playlists/608/most_popular_ted_talks_of_2017
106,10 guiding principles for leaders,9000,10,https://www.ted.com/playlists/596/10_guiding_principles_for_leaders
107,TED deep cuts vol. 1,10069,12,https://www.ted.com/playlists/592/ted_deep_cuts_vol_1
108,Curator's Picks: Top 10 TED Talks of 2017,11457,10,https://www.ted.com/playlists/607/curator_s_picks_top_10_ted_talks_of_2017
109,"Gorgeous, awe-inspiring images of Earth from above",4507,6,https://www.ted.com/playlists/595/gorgeous_awe_inspiring_images_of_earth_from_above
110,"Wacky, weird art made by AI",3132,4,https://www.ted.com/playlists/594/wacky_weird_art_made_by_ai
111,A playlist from Shah Rukh Khan to you,4030,5,https://www.ted.com/playlists/606/a_playlist_from_srk_to_you
112,An Introduction to TED Talks,7400,7,https://www.ted.com/playlists/597/an_introduction_to_ted_talks
113,Tips for inclusive leadership,4746,5,https://www.ted.com/playlists/593/tips_for_inclusive_leadership
114,A year of ... ,3298,4,https://www.ted.com/playlists/591/a_year_of
115,For parents who have lost a child,2763,4,https://www.ted.com/playlists/590/for_parents_who_have_lost_a_child
116,Alternate timelines of the future,5696,7,https://www.ted.com/playlists/588/alternate_timelines_of_the_future
117,Let's talk crap,2810,4,https://www.ted.com/playlists/589/let_s_talk_crap
118,The pros and cons of screens,5853,7,https://www.ted.com/playlists/586/the_pros_and_cons_of_screens
119,Talks to help you become a better researcher,6538,8,https://www.ted.com/playlists/585/talks_to_help_you_become_a_better_researcher
120,How can we improve disaster relief?,5818,9,https://www.ted.com/playlists/584/how_can_we_improve_disaster_relief
121,Stories from the front lines of parenting,8406,11,https://www.ted.com/playlists/583/stories_from_the_front_lines_of_parenting
122,The conversation around sexual assault,5607,6,https://www.ted.com/playlists/582/the_conversation_around_sexual_assault
123,Why it's sometimes good to be bored,2509,4,https://www.ted.com/playlists/581/why_it_s_sometimes_good_to_be_bored
124,Deep studies of humanity,2198,3,https://www.ted.com/playlists/580/deep_studies_of_humanity
125,The power of asking,2891,4,https://www.ted.com/playlists/579/the_power_of_asking
126,Talks to watch when your company's reorganizing,6105,7,https://www.ted.com/playlists/577/talks_to_watch_when_your_company_s_reorganizing
127,How to make a great presentation,4323,5,https://www.ted.com/playlists/574/how_to_make_a_great_presentation
128,How to mobilize healthier communities,5432,6,https://www.ted.com/playlists/575/how_to_mobilize_healthier_communities
129,TED Talks for National Bullying Prevention Month,6371,8,https://www.ted.com/playlists/578/ted_talks_for_national_bully_prevention_month
130,What is deep time?,6542,8,https://www.ted.com/playlists/573/what_is_deep_time
131,The most actionable TED Talks,9320,12,https://www.ted.com/playlists/572/the_most_actionable_ted_talks
132,Using art history to examine modern day,2257,3,https://www.ted.com/playlists/571/using_art_history_to_examine_modern_day
133,When you need to feel awe about the world again,6425,8,https://www.ted.com/playlists/570/when_you_need_to_feel_awe_about_the_world_again
134,The roots of extremism,5383,6,https://www.ted.com/playlists/569/the_roots_of_extremism
135,TED Residency Talks,3017,7,https://www.ted.com/playlists/566/ted_residency_talks
136,Immigrants who founded amazing companies,5861,8,https://www.ted.com/playlists/568/immigrants_who_founded_amazing_companies
137,The link between health and racism,5587,7,https://www.ted.com/playlists/567/the_link_between_health_and_racism
138,The issue of homelessness,2193,4,https://www.ted.com/playlists/564/the_issue_of_homelessness
139,Inside the mind of psychopaths,3030,4,https://www.ted.com/playlists/565/inside_the_mind_of_psychopaths
140,Great stories for your commute,8810,9,https://www.ted.com/playlists/563/great_stories_for_your_commute
141,Emerging markets,10194,11,https://www.ted.com/playlists/561/emerging_markets
142,What is consciousness?,4783,4,https://www.ted.com/playlists/562/what_is_consciousness
143,Pets of the future,3209,4,https://www.ted.com/playlists/560/pets_of_the_future
144,The inventor's corner,6655,9,https://www.ted.com/playlists/557/the_inventor_s_corner
145,"Talks that'll give you a warm, fuzzy feeling",9139,10,https://www.ted.com/playlists/558/talks_that_ll_give_you_a_warm_fuzzy_feeling
146,"Advice from educators, for everyone",4091,6,https://www.ted.com/playlists/559/advice_from_educators_for_everyone
147,How to navigate questionable information,2766,4,https://www.ted.com/playlists/555/how_navigate_questionable_information
148,Live out your sci-fi dreams,6971,10,https://www.ted.com/playlists/556/live_out_your_sci_fi_dreams
149,Talks for when you're starting a new job,3303,4,https://www.ted.com/playlists/554/talks_for_when_you_re_starting_a_new_job_aug_2017
150,How we live now,3988,5,https://www.ted.com/playlists/551/how_we_live_now
151,Talks for when growing up is hard,5329,8,https://www.ted.com/playlists/552/talks_for_when_growing_up_is_hard
152,Secrets to understanding life,9147,10,https://www.ted.com/playlists/553/secrets_to_understanding_life
153,The harmful effects of online abuse,4172,4,https://www.ted.com/playlists/550/the_harmful_effects_of_online_abuse
154,What comes after war?,3755,5,https://www.ted.com/playlists/549/what_comes_after_war
155,Living fossils,5172,6,https://www.ted.com/playlists/548/living_fossils
156,Criminal justice reform now!,5426,6,https://www.ted.com/playlists/547/criminal_justice_reform_now
157,Biohacking: DIY science for everyone,5500,7,https://www.ted.com/playlists/546/biohacking_diy_science_for_everyone
158,Letters to our sons,3492,6,https://www.ted.com/playlists/545/letters_to_our_sons
159,What direction is the future headed?,6672,6,https://www.ted.com/playlists/544/what_direction_is_the_future_headed
160,What's happening to the ocean?,4235,5,https://www.ted.com/playlists/543/what_s_happening_to_the_ocean
161,Talks to watch if you have roommates,3231,4,https://www.ted.com/playlists/542/talks_to_watch_if_you_have_roommates
162,#Goals,3104,5,https://www.ted.com/playlists/541/goals
163,Letters to our daughters,5546,8,https://www.ted.com/playlists/540/letters_to_our_daughters
164,Why you should document your life,3038,6,https://www.ted.com/playlists/539/why_you_should_document_your_life
165,How do you create new words?,2721,4,https://www.ted.com/playlists/537/how_do_you_create_new_words
166,Talks about fictional world-building,5555,5,https://www.ted.com/playlists/536/talks_about_fictional_world_building
